NumeroArticulo,DescripcionArticulo,EnStock,UnidadMedida,GrupoArticulos,UltimaFechaCompra,UltimoPrecioCompra,UltimaMonedaCompra
RP1867,CHUMACERA UCF 215, 3.000 ,UNIDAD,REPUESTOS,28/05/2025," 5,705.237 ",COR
RP1875,MEDIDOR DE SATURACION FILTRO 25 PSI, 17.000 ,UNIDAD,REPUESTOS,02/02/2021, 24.773 ,USD
RP1876,TAPON PARA TANQUE HIDRAULICO, 1.000 ,UNIDAD,REPUESTOS,06/05/2019, 64.590 ,USD
RP1881,FILTRO E AIRE PRIMARIO 6I-2501, 2.000 ,UNIDAD,REPUESTOS,05/08/2021," 2,757.640 ",COR
RP1882,FILTRO DE AIRE SECUNDARIO 6I-2502, 2.000 ,UNIDAD,REPUESTOS,05/08/2021," 2,062.710 ",COR
RP1883,FILTRO DE COMBUSTIBLE 4385386, 2.000 ,UNIDAD,REPUESTOS,05/08/2021," 2,549.020 ",COR
RP1884,ELEMENTO DE FILTRO 322-3155, 2.000 ,UNIDAD,REPUESTOS,05/08/2021, 851.580 ,COR
RP1887,BALINERA SKF NJ312, 3.000 ,UNIDAD,REPUESTOS,08/05/2019, 88.300 ,USD
RP1888,BRIDA DE ACOPLAMIENTO, 4.000 ,UNIDAD,REPUESTOS,08/05/2019," 4,421.940 ",COR
RP1889,MANGUITO DE ACOPLAMIENTO, 2.000 ,UNIDAD,REPUESTOS,08/05/2019," 4,044.560 ",COR
RP1891,MANGUERA HIDRAULICA 3/8 100R2, 30.000 ,PIE,REPUESTOS,26/08/2020, 2.860 ,USD
RP1892,MANGUERA HIDRAULICA 1/2 100R2, 36.000 ,PIE,REPUESTOS,26/08/2020, 3.200 ,USD
RP1893,MANGUERA HIDRAULICA 3/4 100R2, 10.000 ,PIE,REPUESTOS,18/02/2020," 1,616.180 ",COR
RP1896,BANDA XPB  1900_SKF, 17.000 ,UNIDAD,REPUESTOS,20/07/2021," 1,227.718 ",COR
RP1897,SOPORTE TRASERO DE MOTOR 11540(M17), 1.000 ,UNIDAD,REPUESTOS,11/05/2019," 1,350.000 ",COR
RP1898,SOPORTE DE MOTOR 11541(540), 1.000 ,UNIDAD,REPUESTOS,11/05/2019, 520.000 ,COR
RP1899,CONECTOR HEMBRA JIC 1/2 0°, 38.000 ,UNIDAD,REPUESTOS,11/05/2019, 5.920 ,USD
RP1900,CONECTOR JIC 1/4 45°, 30.000 ,UNIDAD,REPUESTOS,11/05/2019, 10.700 ,USD
RP1901,CONECTOR HEMBRA JIC 1 Pulgadas 0°, 13.000 ,UNIDAD,REPUESTOS,11/05/2019, 16.600 ,USD
RP1902,CONECTOR JIC 1 Pulgadas 90°, 15.000 ,UNIDAD,REPUESTOS,11/05/2019, 35.320 ,USD
RP1903,BANDA DETANDA EN V  875CV3630 PARA FRESADORA, 1.000 ,UNIDAD,REPUESTOS,11/05/2019," 2,160.000 ",COR
RP1934,LAMA PARA TRONZAR TGFH 32-3, 3.000 ,UNIDAD,REPUESTOS,24/09/2025," 6,120.000 ",COR
