NumeroArticulo,DescripcionArticulo,EnStock,UnidadMedida,GrupoArticulos,UltimaFechaCompra,UltimoPrecioCompra,UltimaMonedaCompra
AC002,BROCA METAL 1/8 Pulgadas, 12.000 ,UNIDAD,ACCESORIOS,16/01/2026, 34.121 ,COR
AC007,DESARMADOR, 1.000 ,UNIDAD,ACCESORIOS,12/07/2019, 40.000 ,COR
AC022,DOBLADORA P/TUBO EMT 1/2 Pulgadas, 1.000 ,UNIDAD,ACCESORIOS,10/03/2018, 576.050 ,COR
AC035,PERNO HEX. 5/8 X 2-1/2 Pulgadas GR-8, 342.000 ,UNIDAD,ACCESORIOS,07/09/2021," 1,150.820 ",COR
AC036,ARANDELA PRESION 5/8 Pulgadas GR-8," 2,258.000 ",UNIDAD,ACCESORIOS,15/06/2023, 3.415 ,COR
AC037,UNIDAD A/PLANA 5/8 Pulgadas GR-8, 760.000 ,UNIDAD,ACCESORIOS,15/06/2023, 9.000 ,COR
AC038,HEX. METRICO HO 16X50, 47.000 ,UNIDAD,ACCESORIOS,08/07/2020, 50.220 ,COR
AC040,TUERCA HEX. METRICA HO M16, 888.000 ,UNIDAD,ACCESORIOS,06/04/2022, 10.136 ,COR
AC043,TUERCA HEX. INOX 5/16 Pulgadas, 270.000 ,UNIDAD,ACCESORIOS,05/09/2025, 4.202 ,COR
AC044,ARANDELA PRESION INOX 1/4 Pulgadas, 200.000 ,UNIDAD,ACCESORIOS,31/08/2019, 0.260 ,COR
AC045,ARANDELA PRESION INOX 5/16 Pulgadas, 422.000 ,UNIDAD,ACCESORIOS,15/10/2019, 0.270 ,COR
AC046,ARANDELA PLANA INOX 1/4 Pulgadas, 14.000 ,UNIDAD,ACCESORIOS,31/08/2019, 0.270 ,COR
AC047,ARANDELA PLANA INOX 5/16 Pulgadas, 362.000 ,UNIDAD,ACCESORIOS,05/09/2025, 2.432 ,COR
AC052,ARANDELA LISA 5/8 Pulgadas, 859.000 ,UNIDAD,ACCESORIOS,22/12/2022, 8.967 ,COR
AC054,PERNO HEX. 5/8X2 Pulgadas, 1.000 ,UNIDAD,ACCESORIOS,23/10/2019, 12.810 ,COR
AC055,TUERCA HEX. 1 Pulgadas-8 GR-8, 29.000 ,UNIDAD,ACCESORIOS,31/07/2025, 57.954 ,COR
AC063,CAJA EMT COND 4X4 KO 1/2X3/4, 1.000 ,UNIDAD,ACCESORIOS,12/01/2021, 25.210 ,COR
AC066,TAPA CIEGA UL MET. 2X4, 1.000 ,UNIDAD,ACCESORIOS,15/08/2020, 9.170 ,COR
AC069,ALAMB CAB THHN 14 VERDE, 2.000 ,CAJA,ACCESORIOS,27/02/2016, 507.790 ,COR
AC072,CONECTOR CONDUIT 3/4 Pulgadas PVC, 21.000 ,UNIDAD,ACCESORIOS,03/08/2021, 10.000 ,COR
AC083,CONECTOR EMT 3/4 Pulgadas COMPRESION, 206.000 ,UNIDAD,ACCESORIOS,30/10/2024, 24.000 ,COR
AC085,CONECTOR RECTO 2 Pulgadas PARA TUBO, 2.000 ,UNIDAD,ACCESORIOS,03/09/2020, 7.000 ,USD
AC087,CONECTOR RECTO 3/4 Pulgadas PARA TUBO, 82.000 ,UNIDAD,ACCESORIOS,10/06/2021, 1.848 ,USD
AC1005,MARCADOR PERMANENTE EK-400, 24.000 ,UNIDAD,ACCESORIOS,28/01/2026, 54.000 ,COR
AC1007,PEGAMENTO EN BARRA, 4.000 ,UNIDAD,ACCESORIOS,12/09/2025, 15.240 ,COR
AC1008,MASKING TAPE DE  1 Pulgadas  20MTS, 171.000 ,UNIDAD,ACCESORIOS,14/11/2025, 30.500 ,COR
AC1015,CONECTOR CAMLOCK 3 Pulgadas MFA 300 LAL, 7.000 ,UNIDAD,ACCESORIOS,17/08/2024, 495.200 ,COR
AC1018,SUPER BONDER LOCTITE 495 DE 3 GRAMOS, 21.000 ,UNIDAD,ACCESORIOS,17/10/2025, 121.440 ,COR
AC1019,SOBRE MANILA MEDIA CARTA, 15.000 ,UNIDAD,ACCESORIOS,28/01/2026, 1.840 ,COR
AC1021,SOBRE MANILA LEGAL, 20.000 ,UNIDAD,ACCESORIOS,28/01/2026, 5.778 ,COR
AC1023,TAPON PVC DE 1-1/2 Pulgadas, 8.000 ,UNIDAD,ACCESORIOS,18/05/2021, 10.360 ,COR
AC1024,CONECTOR CAMLOCK DE 3 Pulgadas - MF C300 IAL, 8.000 ,UNIDAD,ACCESORIOS,07/09/2023, 318.320 ,COR
AC1025,CONECTOR CAMLOCK DE 4 Pulgadas - MF A400 IAL, 4.000 ,UNIDAD,ACCESORIOS,24/10/2022, 881.820 ,COR
AC1026,CONECTOR CAMLOCK DE 4 Pulgadas - MF C400 IAL, 3.000 ,UNIDAD,ACCESORIOS,05/12/2025," 1,193.058 ",COR
AC1028,ETIQUETAS ADHESIVAS 3x4 Pulgadas LAMINADO - EXTRACEITE," 2,000.000 ",UNIDAD,ACCESORIOS,26/02/2021, 0.022 ,USD
AC1031,LIJA DE TELA ESMERIL #120 -5400006, 51.000 ,UNIDAD,ACCESORIOS,29/06/2022, 19.500 ,COR
AC1034,PRISIONERO ALLEN PR-32-080 1/2X1-1/4, 92.000 ,UNIDAD,ACCESORIOS,11/03/2021, 15.040 ,COR
AC1038,GRAPAS 8MM PARA CABLE, 1.000 ,BOLSA,ACCESORIOS,25/11/2022, 50.000 ,COR
AC1039,FORMATO BOLETAS DE INGRESO A BASCULAS, 200.000 ,BLOCK,ACCESORIOS,22/06/2021, 2.980 ,USD
AC1043,CONO NARANJA BASE NEGRA CINTA REFLECTIVA (CONO DE TRANSITO), 5.000 ,UNIDAD,ACCESORIOS,26/03/2025, 518.000 ,COR
AC1050,PLIEGUITOS DE PAPEL FOTO ADHESIVO, 2.000 ,UNIDAD,ACCESORIOS,16/07/2022, 195.000 ,COR
AC1053,BROCA PARA METAL 27/64 Pulgadas, 1.000 ,UNIDAD,ACCESORIOS,18/05/2021, 298.000 ,COR
AC1060,FERRULES - 7325, 99.000 ,UNIDAD,ACCESORIOS,21/08/2023, 40.984 ,COR
AC1061,BOQUILLA CORTE 10-20 1.2AC/02 TIPO VICTOR PART#1-101-1, 2.000 ,UNIDAD,ACCESORIOS,12/11/2025, 191.592 ,COR
AC1063,BOQUILLA CORTE 40-60 1.2AC/02 TIPO VICTOR PART#1-101-3, 2.000 ,UNIDAD,ACCESORIOS,12/11/2025, 187.360 ,COR
AC1074,ESPUMA LIMPIADORA 590, 7.000 ,UNIDAD,ACCESORIOS,22/09/2021, 600.000 ,COR
AC1076,CANULA NASAL CON RESERVORIO, 6.000 ,UNIDAD,ACCESORIOS,23/07/2021, 31.760 ,COR
AC1077,OXIGENO MEDICINAL T/220, 1.000 ,UNIDAD,ACCESORIOS,01/12/2021, 876.000 ,COR
AC1078,HUMIDIFICADOR CON ADAPTADOR DISS, 1.000 ,UNIDAD,ACCESORIOS,23/07/2021, 106.400 ,COR
AC1079,REGULADOR DE MANOMETRO 2-15 LPM, 3.000 ,UNIDAD,ACCESORIOS,23/07/2021," 2,205.897 ",COR
AC1085,REGULADOR 870 1/8 Pulgadas - 15 LPM, 6.000 ,UNIDAD,ACCESORIOS,24/07/2021," 1,434.090 ",COR
AC1086,REGULADOR CGA 540 1 - 15 LPM, 3.000 ,UNIDAD,ACCESORIOS,24/07/2021, 321.860 ,COR
AC1087,CILINDRO DE ALUMINIO TIPO E-CGA 870, 3.000 ,UNIDAD,ACCESORIOS,24/07/2021, 78.943 ,COR
AC1088,TONER HP CF501A, 2.000 ,UNIDAD,ACCESORIO DE COMPUTO,04/11/2021, 80.000 ,USD
AC1089,TONER HP CF502A, 1.000 ,UNIDAD,ACCESORIO DE COMPUTO,04/11/2021, 76.000 ,USD
AC1090,TONER HP CF503A, 1.000 ,UNIDAD,ACCESORIO DE COMPUTO,05/08/2021," 2,982.000 ",COR
AC1092,PANA PARA PINTAR (BANDEJA), 1.000 ,UNIDAD,ACCESORIOS,18/09/2025, 100.000 ,COR
AC1095,CINTA VINIL 600MMX15MTS EVERWELL, 17.000 ,UNIDAD,ACCESORIOS,22/09/2021, 1.090 ,USD
AC1101,TONER HP - CF-258A, 3.000 ,UNIDAD,ACCESORIO DE COMPUTO,30/01/2026," 4,822.830 ",COR
AC1103,PASTA PLASTICA CUBIERTA DE POLIPROPILENO, 11.000 ,UNIDAD,ACCESORIOS,28/01/2026, 240.470 ,COR
AC1107,CONECTOR CAMLOCK MF C-600AL, 4.000 ,UNIDAD,ACCESORIOS,22/09/2021," 3,020.360 ",COR
AC1108,CONECTOR CAMLOCK TIPO F-600AIL, 4.000 ,UNIDAD,ACCESORIOS,22/09/2021," 1,805.770 ",COR
AC1109,CARTUCHO DE TINTA S2, 7.000 ,UNIDAD,ACCESORIO DE COMPUTO,03/09/2025," 5,383.440 ",COR
AC1111,RACOR RECTO INTERMEDIO 4 (5/32), 15.000 ,UNIDAD,ACCESORIO DE COMPUTO,25/09/2021, 1.520 ,USD
AC1112,RACOR RECTO RED 8MM, 15.000 ,UNIDAD,ACCESORIOS,25/09/2021, 2.720 ,USD
AC1113,RACOR RECTO INTERMEDIO RED 10MM, 8.000 ,UNIDAD,ACCESORIOS,25/09/2021, 3.410 ,USD
AC1114,RACOR RECTO RED 4MM 1/4 Pulgadas, 15.000 ,UNIDAD,ACCESORIOS,25/09/2021, 1.570 ,USD
AC1115,RACOR RECTO MACHO CONICO RED 4MM 1/8 Pulgadas, 15.000 ,UNIDAD,ACCESORIOS,25/09/2021, 1.280 ,USD
AC1116,RACOR RECTO RED 8MM 3/8 Pulgadas, 10.000 ,UNIDAD,ACCESORIOS,17/03/2023, 52.700 ,COR
AC1117,RACOR RECTO RED 10MM 1/4 Pulgadas, 12.000 ,UNIDAD,ACCESORIOS,05/04/2023, 52.700 ,COR
AC1118,RACOR RECTO RED 10MM 1/2 Pulgadas, 11.000 ,UNIDAD,ACCESORIOS,05/04/2023, 66.300 ,COR
AC1119,RACOR AL 8MM 1/4 Pulgadas, 11.000 ,UNIDAD,ACCESORIOS,25/09/2021, 3.200 ,USD
AC1122,RACOR AT INTERMEDIO RED 8MM, 4.000 ,UNIDAD,ACCESORIOS,25/09/2021, 4.450 ,USD
AC1123,RACOR AT INTERMEDIO RED 10MM, 13.000 ,UNIDAD,ACCESORIOS,25/09/2021, 5.790 ,USD
AC1124,RACOR AT INTERMEDIO 4 (5/32), 8.000 ,UNIDAD,ACCESORIOS,25/09/2021, 2.110 ,USD
AC1125,RACOR AT RED 4MM, 2.000 ,UNIDAD,ACCESORIOS,25/09/2021, 3.620 ,USD
AC1126,LIJA #60, 3.000 ,UNIDAD,ACCESORIOS,13/12/2022, 26.362 ,COR
AC1129,TUERCA 9/16 Pulgadas GR-8, 94.000 ,UNIDAD,ACCESORIOS,09/10/2021, 4.945 ,COR
AC1130,ARANDELA PRESION 9/16 Pulgadas GR-8, 88.000 ,UNIDAD,ACCESORIOS,09/10/2021, 1.628 ,COR
AC1131,ARANDELA PLANA 9/16 Pulgadas GR-8, 98.000 ,UNIDAD,ACCESORIOS,09/10/2021, 1.753 ,COR
AC1132,PAPEL AISLANTE NOMEX #7, 5.000 ,UNIDAD,ACCESORIOS,10/09/2025, 124.200 ,COR
AC1135,POLISSH PERFECT BOT 1/4 SELLADO 36060, 1.000 ,UNIDAD,ACCESORIOS,16/10/2021," 2,067.200 ",COR
AC1139,PAPEL LAMINADO PARA ENMASCARAR 18 PulgadasX230, 1.000 ,UNIDAD,ACCESORIOS,05/02/2025," 1,131.000 ",COR
AC1144,BOQUILLAS PARA ALCOHOLIMETRO BACTRACK PAQUETE DE 100 UNIDADES, 3.000 ,UNIDAD,REPUESTOS,16/11/2021," 1,943.760 ",COR
AC115,ARANDELA PRESION 1 Pulgadas GR-8, 228.000 ,UNIDAD,ACCESORIOS,15/05/2024, 10.815 ,COR
AC1152,TONER HP CF283, 2.000 ,UNIDAD,ACCESORIO DE COMPUTO,, -   ,
AC1153,TONER HP CB542A, 1.000 ,UNIDAD,ACCESORIO DE COMPUTO,, -   ,
AC1157,ARANDELA DE PRESION 3/8 Pulgadas INOX, 349.000 ,UNIDAD,ACCESORIOS,24/10/2022, 0.874 ,COR
AC1164,MANGUERA TRANSPARENTE NIVEL 3, 33.000 ,PIES,ACCESORIOS,26/01/2022, 8.924 ,COR
AC1166,CARTUCHO HP GT, 21.000 ,UNIDAD,ACCESORIO DE COMPUTO,30/01/2026, 365.310 ,COR
AC1167,PALO PARA CEPILLO DE PISO, 1.000 ,UNIDAD,ACCESORIOS,, -   ,
AC1168,ARANDELA ESPECIAL CON O-RING 3/4, 23.000 ,UNIDAD,ACCESORIOS,27/01/2023, 3.263 ,USD
AC1170,COLOCHO 9/16 PLASTICO, 650.000 ,UNIDAD,ACCESORIOS,19/09/2025, 5.100 ,COR
AC1173,ESPAGUETI #12, 150.000 ,PIES,ACCESORIOS,11/06/2022, 0.130 ,USD
AC1177,CLORO, 5.000 ,GALON,ACCESORIOS,09/01/2026, 77.400 ,COR
AC1179,BOCINA ESTRO 15-75 CD, 2.000 ,UNIDAD,ACCESORIOS,30/10/2024, 75.000 ,USD
AC1180,ESTACION MANUAL DE ALARMA, 3.000 ,UNIDAD,ACCESORIOS,30/10/2024, 70.000 ,USD
AC1182,BRIDA PLASTICA 21 Pulgadas, 700.000 ,UNIDAD,ACCESORIOS,21/01/2026, 17.690 ,COR
AC1184,GALON PLASTICO, 8.000 ,UNIDAD,ACCESORIOS,12/05/2025, 50.000 ,COR
AC1185,REFLECTOR PARA BICICLETA, 22.000 ,UNIDAD,ACCESORIOS,26/03/2022, 82.000 ,COR
AC1192,AMBIENTADOR, 15.000 ,GALON,ACCESORIOS,09/01/2026, 61.600 ,COR
AC1193,CUBRE ZAPATOS ANTIDESLIZANTE, 100.000 ,PAR,ACCESORIOS,09/04/2022, 0.097 ,USD
AC1202,OLLA DE ALUMINIO, 1.000 ,UNIDAD,ACCESORIOS,27/03/2025, 650.000 ,COR
AC1205,ARANDELA DE PRESION M24, 572.000 ,UNIDAD,ACCESORIOS,28/03/2025, 57.663 ,COR
AC1207,ARANDELA PLANA M25, 66.000 ,UNIDAD,ACCESORIOS,, -   ,
AC1208,ARANDELA DE PRESION M25, 48.000 ,UNIDAD,ACCESORIOS,, -   ,
AC1209,TUERCA METRICA M24, 384.000 ,UNIDAD,ACCESORIOS,, -   ,
AC1210,TUERCA METRICA M25, 68.000 ,UNIDAD,ACCESORIOS,, -   ,
AC1211,TUERCA METRICA M12," 4,382.000 ",UNIDAD,ACCESORIOS,, -   ,
AC1212,TUERCA METRICA M27, 14.000 ,UNIDAD,ACCESORIOS,, -   ,
AC1213,ARANDELA DE PRESION M12, 51.000 ,UNIDAD,ACCESORIOS,, -   ,
AC1214,ARANDELA DE PRESION M8, 149.000 ,UNIDAD,ACCESORIOS,, -   ,
AC1215,LIJA #60, 430.000 ,PIE,ACCESORIOS,29/06/2022, 25.330 ,COR
AC1216,ARANDELA DE PRESION M10, 190.000 ,UNIDAD,ACCESORIOS,09/07/2022, 0.892 ,COR
AC1224,PALO DE ALUMINIO 1.5 MTS, 2.000 ,UNIDAD,ACCESORIOS,15/11/2024," 1,200.000 ",COR
AC1229,BOLSA PLASTICA 6 PulgadasX10 Pulgadas," 1,500.000 ",UNIDAD,ACEITE Y LUBRICANTES,21/01/2026, 0.514 ,COR
AC1230,MOUSE INALAMBRICO, 2.000 ,UNIDAD,ACCESORIO DE COMPUTO,29/10/2025, 407.377 ,COR
AC1232,PIEDRA PARA AFILAR (ESMERILAR) 8 Pulgadas, 7.000 ,UNIDAD,ACCESORIOS,26/09/2025, 290.000 ,COR
AC1236,CHINCHE CORRIENTE, 14.000 ,CAJA,ACCESORIOS,12/12/2025, 9.000 ,COR
AC1240,PAPEL AISLANTE NOMEX #11, 28.000 ,UNIDAD,ACCESORIOS,24/01/2026, 632.500 ,COR
AC1241,BRIDA PLASTICA 17 Pulgadas, 600.000 ,UNIDAD,ACCESORIOS,25/06/2025, 12.143 ,COR
AC1243,"TANQUE DE AGUA 10,000 LTS", 1.000 ,UNIDAD,ACCESORIOS,27/06/2025," 60,648.380 ",COR
AC1247,BANDEJA PORTA REVISTA PLASTICA, 2.000 ,UNIDAD,ACCESORIOS,16/07/2022, 120.000 ,COR
AC125,TUERCA HEX. INOX 5/8 Pulgadas, 20.000 ,UNIDAD,ACCESORIOS,28/03/2025, 33.096 ,COR
AC1250,FOLDER TAMAÑO LEGAL, 4.000 ,UNIDAD,ACCESORIOS,25/05/2023, 255.000 ,COR
AC1251,PAPEL BOND LEGAL, 8.000 ,UNIDAD,ACCESORIOS,20/05/2023, 292.500 ,COR
AC1252,REPUESTO P/CALADOR (CUCHILLA SCUTER), 3.000 ,UNIDAD,ACCESORIOS,28/01/2026, 19.200 ,COR
AC1256,SACO ROJO 24X38 S/IMPRESIÓN," 3,920.000 ",UNIDAD,ACCESORIOS,04/05/2023, 0.350 ,USD
AC126,ARANDELA PLANA INOX 5/8 Pulgadas, 58.000 ,UNIDAD,ACCESORIOS,28/03/2025, 15.595 ,COR
AC1260,HIELERA NAPOLI POROPLAST, 1.000 ,UNIDAD,ACCESORIOS,12/05/2025, 260.000 ,COR
AC1273,LLAVE DE PASE DOBLE P/LAVAMANO 1/2 PulgadasX1/2 PulgadasX1/2 Pulgadas, 3.000 ,UNIDAD,ACCESORIOS,24/07/2025, 130.000 ,COR
AC1280,PAGINA BLANCA OPALINA, 4.000 ,RESMA,ACCESORIOS,28/01/2026, 229.500 ,COR
AC1284,GORRO ESTILO PANADERO, 8.000 ,UNIDAD,ACCESORIOS,22/12/2022, 80.000 ,COR
AC1287,FRESA 2 FILOS 1/2, 1.000 ,UNIDAD,ACCESORIOS,07/01/2023, 385.200 ,COR
AC1289,FRESA 2 FILOS 5/8, 1.000 ,UNIDAD,ACCESORIOS,07/01/2023, 594.900 ,COR
AC1293,FRESA VERTICAL 3/8 PulgadasX3/8 Pulgadas HSS 4 FILOS, 1.000 ,UNIDAD,ACCESORIOS,07/01/2023, 254.000 ,COR
AC1304,CINTA CAMBRIC 3/4 Pulgadas C/ADHESIVO, 2.000 ,UNIDAD,ACCESORIOS,10/07/2025," 1,924.030 ",COR
AC1305,BRIDA PLASTICA 15 Pulgadas, 50.000 ,UNIDAD,ACCESORIOS,30/10/2024, 6.561 ,COR
AC1318,RACOR CODO 1/4 PulgadasNPTX8MM, 8.000 ,UNIDAD,ACCESORIOS,05/04/2023, 45.050 ,COR
AC1319,VASOS, 6.000 ,UNIDAD,ACCESORIOS,24/02/2025, 30.000 ,COR
AC1321,ARANDELA ESPECIAL METALICA CON ORING 1/2, 4.000 ,UNIDAD,ACCESORIOS,28/03/2023, 1.389 ,USD
AC1330,ARANDELA ESPECIAL CON O-RING 1 Pulgadas, 3.000 ,UNIDAD,ACCESORIOS,03/12/2025, 109.257 ,COR
AC1334,PAPEL AISLANTE NOMEX N-M-N 5-10-5, 3.000 ,UNIDAD,ACCESORIOS,15/12/2023, 52.130 ,USD
AC1349,PAPEL KRAFT, 2.000 ,UNIDAD,ACCESORIOS,02/10/2024, 133.000 ,COR
AC1355,PAPEL ESTANDAR 45 CM X 45 M, 1.000 ,ROLLO,ACCESORIOS,12/10/2023, 947.000 ,COR
AC1358,DIAGONAL DE 3M L1 GALVANIZADO MULTIFER, 1.000 ,UNIDAD,ACCESORIOS,, -   ,
AC1359,LARGUERA DE 3M GALVANIZADA MULTIFER, 6.000 ,UNIDAD,ACCESORIOS,, -   ,
AC1370,REMOVEDOR DE JUNTAS LOCTITE SF 790, 42.000 ,UNIDAD,ACCESORIOS,17/10/2025, 644.000 ,COR
AC1373,FIJADOR DE ROSCAS LOCTITE 271 50 ML, 38.000 ,UNIDAD,ACCESORIOS,17/10/2025," 1,472.000 ",COR
AC1374,BOTELLA DE VIDRIO, 90.000 ,UNIDAD,ACCESORIOS,09/05/2025, 16.957 ,COR
AC1382,BLOCK DE BOLETA DE DESPACHO CPO (CALIDAD), 10.000 ,UNIDAD,ACCESORIOS,04/02/2025, 120.000 ,COR
AC1387,NIPLE TAM B1/4ID AW-17 PART #SNP-72 BINZEL, 24.000 ,UNIDAD,ACCESORIOS,21/08/2023, 108.448 ,COR
AC1395,CONECTOR CAMLOCK DE 3 Pulgadas C300, 1.000 ,UNIDAD,ACCESORIOS,07/09/2023, 861.860 ,COR
AC1396,CONECTOR CAMLOCK DE 3 Pulgadas E-300, 5.000 ,UNIDAD,ACCESORIOS,07/09/2023, 522.560 ,COR
AC1397,RACOR DE 1/4 NPT X6MM SANG-A, 22.000 ,UNIDAD,ACCESORIOS,07/09/2023, 40.800 ,COR
AC1398,RACOR RECTO DE 1/4 NPT X6MM SANG-A, 24.000 ,UNIDAD,ACCESORIOS,07/09/2023, 34.400 ,COR
AC140,PRISIONERO ALLEN 1/4X1 Pulgadas, 64.000 ,UNIDAD,ACCESORIOS,07/01/2026, 5.442 ,COR
AC1400,HULE PARA ARPÓN DE 1/2 Pulgadas, 60.000 ,PIE,ACCESORIOS,20/01/2026, 160.000 ,COR
AC1401,RÓTULO PVC CON IMPRESIÓN VINIL FORMATO A0, 1.000 ,UNIDAD,ACCESORIOS,26/10/2023, 8.000 ,USD
AC1402,CARGADOR RAPIDO KENWOOD KS-25LS, 1.000 ,UNIDAD,ACCESORIOS,31/10/2023, 44.000 ,USD
AC1403,BATERIA KENWOOD KNB-57L, 1.000 ,UNIDAD,ACCESORIOS,31/10/2023, 89.500 ,USD
AC1407,TONER HP 151A, 10.000 ,UNIDAD,ACCESORIO DE COMPUTO,30/01/2026," 5,132.790 ",COR
AC1408,FILTRO DE SEDIMENTO DE POLIPROPILENO 20 PulgadasX4.5 Pulgadas, 8.000 ,UNIDAD,ACCESORIOS,17/01/2024, 46.000 ,USD
AC141,PRISIONERO ALLEN 3/8X1 Pulgadas, 5.000 ,UNIDAD,ACCESORIOS,07/01/2026, 16.810 ,COR
AC1410,BATERIA ALKALINA AA, 12.000 ,UNIDAD,ACCESORIOS,28/01/2026, 17.753 ,COR
AC1412,ETIQUETA BARRILITO P/PRECIO, 1.000 ,UNIDAD,ACCESORIOS,07/02/2024, 11.640 ,COR
AC1413,COVER PARA CELULAR, 1.000 ,UNIDAD,ACCESORIOS,20/08/2025, 280.000 ,COR
AC1417,HILO DE POLIESTER FIBRA ROJA 175G, 30.000 ,UNIDAD,ACCESORIOS,16/03/2024, 100.000 ,COR
AC1419,BLOQUEADOR TIPO BARRA 190MM PARA DISYUN, 3.000 ,UNIDAD,ACCESORIOS,17/04/2024, 19.000 ,USD
AC1420,BLOQUEADOR VALVULA DE BOLA 13 A 70MM, 3.000 ,UNIDAD,ACCESORIOS,17/04/2024, 34.000 ,USD
AC1421,BLOQUEO INTERRUPTOR ABRAZADERA, 15.000 ,UNIDAD,ACCESORIOS,17/04/2024, 11.300 ,USD
AC1422,BLOQUEO PARA BOTONERA 22.5 A 30.5MM, 3.000 ,UNIDAD,ACCESORIOS,17/04/2024, 14.500 ,USD
AC1423,BLOQUEO VALVULA UNIVERSAL CON CABLE, 12.000 ,UNIDAD,ACCESORIOS,17/04/2024, 60.000 ,USD
AC1424,CAJA DE ALMACENAMIENTO 48 LLAVES KB48, 2.000 ,UNIDAD,ACCESORIOS,17/04/2024, 77.500 ,USD
AC1425,CANDADO BLOQUEO DIELECT ROJO LOCKEY, 14.000 ,UNIDAD,ACCESORIOS,17/04/2024, 15.300 ,USD
AC1426,ETIQUETA DE BLOQUEO PVC LOCKEY (PAQ.10 UND), 3.000 ,UNIDAD,ACCESORIOS,17/04/2024, 27.000 ,USD
AC1428,TONER HP 105A, 3.000 ,UNIDAD,ACCESORIOS,28/09/2024, 70.150 ,USD
AC1429,CARTUCHO EPSON T544, 7.000 ,UNIDAD,ACCESORIOS,12/09/2025, 396.680 ,COR
AC1431,UPS APC DE 4 TOMACORRIENTES MOD. BVX700, 3.000 ,UNIDAD,ACCESORIO DE COMPUTO,25/07/2025," 2,798.450 ",COR
AC1433,MANGUERA PARA JARDIN, 10.000 ,METROS,ACCESORIOS,22/02/2025, 45.000 ,COR
AC1437,BOLETA DE DESPACHO CPKO (CALIDAD), 14.000 ,UNIDAD,ACCESORIOS,25/06/2024, 120.000 ,COR
AC1439,CABLE MTH USB A SERIAL DB9-M 45CM, 1.000 ,UNIDAD,ACCESORIOS,31/07/2024, 577.680 ,COR
AC1440,CONECTOR CAMLOCK 2 Pulgadas MFB-200 IAL, 2.000 ,UNIDAD,ACCESORIOS,17/08/2024, 661.600 ,COR
AC1441,CONECTOR CAMLOCK 2 Pulgadas MFA-200 IAL, 2.000 ,UNIDAD,ACCESORIOS,17/08/2024, 331.200 ,COR
AC1445,CINTA PARA DUCTO DE 2 Pulgadas, 6.000 ,UNIDAD,ACCESORIOS,06/01/2025, 70.000 ,COR
AC1446,PANA DE VIDRIO, 11.000 ,UNIDAD,ACCESORIOS,18/09/2024, 45.000 ,COR
AC1448,MASKING TAPE 12MMX20M, 7.000 ,UNIDAD,ACCESORIOS,30/10/2024, 41.650 ,COR
AC1449,PAPEL BOND MEDIA CARTA, 15.000 ,UNIDAD,ACCESORIOS,23/01/2026, 170.667 ,COR
AC1450,PAPEL BURBUJA, 7.000 ,ROLLO,ACCESORIOS,12/09/2025," 2,460.540 ",COR
AC1451,HALADERA DE PUERTA, 12.000 ,UNIDAD,ACCESORIOS,13/09/2024, 85.000 ,COR
AC1452,PAPEL ADHESIVO T/C, 7.000 ,UNIDAD,ACCESORIOS,21/02/2025, 99.750 ,COR
AC1453,CARGADOR UNIVERSAL MOD.2733335, 2.000 ,UNIDAD,ACCESORIOS,09/07/2025, 976.990 ,COR
AC1454,PAPEL BOND QUIMICO 3X3X3 76X18MTS P/TMU, 17.000 ,ROLLO,ACCESORIOS,28/01/2026, 58.500 ,COR
AC1455,CINTA EPSON ERC-38B, 18.000 ,UNIDAD,ACCESORIOS,18/07/2025, 70.030 ,COR
AC1457,BATERIA DE LITIO 3V CR-2023, 8.000 ,UNIDAD,ACCESORIOS,04/10/2024, 20.240 ,COR
AC1459,UPS APC MOD. BV800 EASY, 2.000 ,UNIDAD,ACCESORIOS,30/04/2025," 2,734.770 ",COR
AC1463,PAPELERA METALICA, 3.000 ,UNIDAD,ACCESORIOS,16/04/2025, 247.250 ,COR
AC1465,GRAPA PARA CABLE 4MM, 2.000 ,UNIDAD,ACCESORIOS,28/10/2024, 30.000 ,COR
AC1466,GRAPA PARA CABLE 6MM, 1.000 ,UNIDAD,ACCESORIOS,28/10/2024, 30.000 ,COR
AC1470,PASTE DE ALUMINIO, 37.000 ,UNIDAD,ACCESORIOS,07/11/2025, 5.930 ,COR
AC1475,GASA QUIRURGICA, 550.000 ,UNIDAD,ACCESORIOS,12/11/2025, 5.830 ,COR
AC1479,BROCA 1/16 Pulgadas PARA METAL, 2.000 ,UNIDAD,ACCESORIOS,26/02/2025, 83.090 ,COR
AC1483,BOLSAS DE PLASTICO 4LB (PAQUETE 100 UND), 2.000 ,UNIDAD,ACCESORIOS,11/03/2025, 55.000 ,COR
AC1484,BOLSAS DE PLASTICO 5LB (PAQUETE 100 UND), 2.000 ,UNIDAD,ACCESORIOS,11/03/2025, 60.000 ,COR
AC1485,RACOR Y DE 1/4 NPT X 1/4, 15.000 ,UNIDAD,ACCESORIOS,21/03/2025, 92.800 ,COR
AC1486,REGULADOR DE FLUJO A 90° DE 1/4 NPT X 1/4, 8.000 ,UNIDAD,ACCESORIOS,21/03/2025, 168.000 ,COR
AC1487,RACOR CODO DE 3/8 NPT X 1/4, 15.000 ,UNIDAD,ACCESORIOS,21/03/2025, 51.200 ,COR
AC1488,RACOR CODO DE 1/4 NPT X 1/4, 15.000 ,UNIDAD,ACCESORIOS,21/03/2025, 40.000 ,COR
